sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,short_description,price,meta_title,meta_keywords,meta_description,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,configurable_variations,configurable_variation_labels
DT9-Ivory-L,,Default,simple,"Default Category/Clothing,Default Category/Clothing/All Clothing,Default Category/Clothing/Tops,Default Category/Clothing/New In,Default Category/Designers,Default Category/Designers/Diana Taborda",base,"Spaghetti Strap Blouse With Embroidery-Ivory-L",,95.000000,"Spaghetti Strap Blouse With Embroidery","Spaghetti Strap Blouse With Embroidery","Spaghetti Strap Blouse With Embroidery Product Details: Basic spaghetti strap blouse with hand-embroidered detailMaterial: 100% polyester.Size & Fit: Model is wearing size SCountry of Origin: ColombiaCare of the product: Machine wash cold, delicate cy",,,,,,,"Block after Info Column",,,,No,,,,Colombia,"mgs_brand=Diana Taborda,preorder=No,size=L",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
DT9,,Default,configurable,"Default Category/Clothing,Default Category/Clothing/All Clothing,Default Category/Clothing/Tops,Default Category/Clothing/New In,Default Category/Designers,Default Category/Designers/Diana Taborda",base,"Spaghetti Strap Blouse With Embroidery",,,"Spaghetti Strap Blouse With Embroidery","Spaghetti Strap Blouse With Embroidery","Spaghetti Strap Blouse With Embroidery Product Details: Basic spaghetti strap blouse with hand-embroidered detailMaterial: 100% polyester.Size & Fit: Model is wearing size SCountry of Origin: ColombiaCare of the product: Machine wash cold, delicate cy",/b/l/blouse_1_1.jpg,,/b/l/blouse_1_1.jpg,,,,"Block after Info Column",,,,"Use config",,,"Use config",Colombia,"complete_your_look=22,mgs_brand=Diana Taborda,you_may_also_like=21",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/b/l/blouse_1_1.jpg,/b/l/blouse_2_1.jpg,/b/l/blouse_3_1.jpg",",,",,,,,,,,,,"sku=DT9-Ivory-S,color=Ivory,size=S|sku=DT9-Ivory-XS,color=Ivory,size=XS|sku=DT9-Ivory-L,color=Ivory,size=L|sku=DT9-Ivory-M,color=Ivory,size=M","color=Color,size=Size"
DT10-Pink-S,,Default,simple,"Default Category/Clothing,Default Category/Clothing/All Clothing,Default Category/Clothing/New In,Default Category/Designers,Default Category/Designers/Diana Taborda,Default Category/Clothing/Vests",base,"Sleeveless Crossed Vest With Invisible Clasp-Pink-S",,156.000000,"Sleeveless Crossed Vest With Invisible Clasp","Sleeveless Crossed Vest With Invisible Clasp","Sleeveless Crossed Vest With Invisible Clasp Product Details: Sleeveless crossed vest with invisible clasp.Material: 96% polyester, 4% spandex.Size & Fit: Model is wearing size SCountry of Origin: ColombiaCare of the product: Machine wash cold, delica",,,,,,,"Block after Info Column",,,,No,,,,Colombia,"mgs_brand=Diana Taborda,preorder=No,size=S",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
DT10-Pink-M,,Default,simple,"Default Category/Clothing,Default Category/Clothing/All Clothing,Default Category/Clothing/New In,Default Category/Designers,Default Category/Designers/Diana Taborda,Default Category/Clothing/Vests",base,"Sleeveless Crossed Vest With Invisible Clasp-Pink-M",,156.000000,"Sleeveless Crossed Vest With Invisible Clasp","Sleeveless Crossed Vest With Invisible Clasp","Sleeveless Crossed Vest With Invisible Clasp Product Details: Sleeveless crossed vest with invisible clasp.Material: 96% polyester, 4% spandex.Size & Fit: Model is wearing size SCountry of Origin: ColombiaCare of the product: Machine wash cold, delica",,,,,,,"Block after Info Column",,,,No,,,,Colombia,"mgs_brand=Diana Taborda,preorder=No,size=M",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
DT10-Pink-L,,Default,simple,"Default Category/Clothing,Default Category/Clothing/All Clothing,Default Category/Clothing/New In,Default Category/Designers,Default Category/Designers/Diana Taborda,Default Category/Clothing/Vests",base,"Sleeveless Crossed Vest With Invisible Clasp-Pink-L",,156.000000,"Sleeveless Crossed Vest With Invisible Clasp","Sleeveless Crossed Vest With Invisible Clasp","Sleeveless Crossed Vest With Invisible Clasp Product Details: Sleeveless crossed vest with invisible clasp.Material: 96% polyester, 4% spandex.Size & Fit: Model is wearing size SCountry of Origin: ColombiaCare of the product: Machine wash cold, delica",,,,,,,"Block after Info Column",,,,No,,,,Colombia,"mgs_brand=Diana Taborda,preorder=No,size=L",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
DT10,,Default,configurable,"Default Category/Clothing,Default Category/Clothing/All Clothing,Default Category/Clothing/New In,Default Category/Designers,Default Category/Designers/Diana Taborda,Default Category/Clothing/Vests",base,"Sleeveless Crossed Vest With Invisible Clasp",,,"Sleeveless Crossed Vest With Invisible Clasp","Sleeveless Crossed Vest With Invisible Clasp","Sleeveless Crossed Vest With Invisible Clasp Product Details: Sleeveless crossed vest with invisible clasp.Material: 96% polyester, 4% spandex.Size & Fit: Model is wearing size SCountry of Origin: ColombiaCare of the product: Machine wash cold, delica",/v/e/vest_1.jpg,,/v/e/vest_1.jpg,,,,"Block after Info Column",,,,"Use config",,,"Use config",Colombia,"mgs_brand=Diana Taborda",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/v/e/vest_1.jpg,/v/e/vest_2.jpg",",",,,,,,,,,,"sku=DT10-Pink-M,color=Pink,size=M|sku=DT10-Pink-S,color=Pink,size=S|sku=DT10-Pink-L,color=Pink,size=L","color=Color,size=Size"
DT11-Ivory-S,,Default,simple,"Default Category/Clothing,Default Category/Clothing/All Clothing,Default Category/Clothing/Tops,Default Category/Clothing/New In,Default Category/Designers,Default Category/Designers/Diana Taborda",base,"Two Tone Top-Ivory-S",,108.000000,"Two Tone Top","Two Tone Top","Two Tone Top Product Details: Top with elbow-length sleeves, nude mesh inset along the neckline and printed inset inspired on Colombian coffee beans. Material: 95% polyester, 5% elastomer.Size & Fit: Model is wearing size SCountry of Origin: ColombiaC",,,,,,,"Block after Info Column",,,,No,,,"Use config",Colombia,"mgs_brand=Diana Taborda,preorder=No,size=S",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
DT11-Ivory-M,,Default,simple,"Default Category/Clothing,Default Category/Clothing/All Clothing,Default Category/Clothing/Tops,Default Category/Clothing/New In,Default Category/Designers,Default Category/Designers/Diana Taborda",base,"Two Tone Top-Ivory-M",,108.000000,"Two Tone Top","Two Tone Top","Two Tone Top Product Details: Top with elbow-length sleeves, nude mesh inset along the neckline and printed inset inspired on Colombian coffee beans. Material: 95% polyester, 5% elastomer.Size & Fit: Model is wearing size SCountry of Origin: ColombiaC",,,,,,,"Block after Info Column",,,,No,,,"Use config",Colombia,"mgs_brand=Diana Taborda,preorder=No,size=M",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
DT11-Ivory-L,,Default,simple,"Default Category/Clothing,Default Category/Clothing/All Clothing,Default Category/Clothing/Tops,Default Category/Clothing/New In,Default Category/Designers,Default Category/Designers/Diana Taborda",base,"Two Tone Top-Ivory-L",,108.000000,"Two Tone Top","Two Tone Top","Two Tone Top Product Details: Top with elbow-length sleeves, nude mesh inset along the neckline and printed inset inspired on Colombian coffee beans. Material: 95% polyester, 5% elastomer.Size & Fit: Model is wearing size SCountry of Origin: ColombiaC",,,,,,,"Block after Info Column",,,,No,,,"Use config",Colombia,"mgs_brand=Diana Taborda,preorder=No,size=L",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
DT11,,Default,configurable,"Default Category/Clothing,Default Category/Clothing/All Clothing,Default Category/Clothing/Tops,Default Category/Clothing/New In,Default Category/Designers,Default Category/Designers/Diana Taborda",base,"Two Tone Top",,,"Two Tone Top","Two Tone Top","Two Tone Top Product Details: Top with elbow-length sleeves, nude mesh inset along the neckline and printed inset inspired on Colombian coffee beans. Material: 95% polyester, 5% elastomer.Size & Fit: Model is wearing size SCountry of Origin: ColombiaC",/t/w/two_tone_1.jpg,,/t/w/two_tone_1.jpg,,,,"Block after Info Column",,,,"Use config",,,"Use config",Colombia,"complete_your_look=22,mgs_brand=Diana Taborda,you_may_also_like=21",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/t/w/two_tone_1.jpg,,,,,,,,,,,"sku=DT11-Ivory-M,color=Ivory,size=M|sku=DT11-Ivory-S,color=Ivory,size=S|sku=DT11-Ivory-L,color=Ivory,size=L","color=Color,size=Size"
"DT12-Nude-US 6",,Default,simple,"Default Category/Clothing,Default Category/Clothing/All Clothing,Default Category/Clothing/Pants,Default Category/Clothing/New In,Default Category/Designers,Default Category/Designers/Diana Taborda",base,"High-Waist Pants With Waistband -Nude-US 6",,175.000000,"High-Waist Pants With Waistband ","High-Waist Pants With Waistband ","High-Waist Pants With Waistband  Product Details: T High-waisted pants with waistband and pleating going from waist to hem. Material: 96% polyester, 4% spandex.Size & Fit: Model is wearing size SCountry of Origin: ColombiaCare of the product: Machine ",,,,,,,"Block after Info Column",,,,No,,,"Use config",Colombia,"mgs_brand=Diana Taborda,preorder=No,size=US 6",99.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
"DT12-Nude-US 10",,Default,simple,"Default Category/Clothing,Default Category/Clothing/All Clothing,Default Category/Clothing/Pants,Default Category/Clothing/New In,Default Category/Designers,Default Category/Designers/Diana Taborda",base,"High-Waist Pants With Waistband -Nude-US 10",,175.000000,"High-Waist Pants With Waistband ","High-Waist Pants With Waistband ","High-Waist Pants With Waistband  Product Details: T High-waisted pants with waistband and pleating going from waist to hem. Material: 96% polyester, 4% spandex.Size & Fit: Model is wearing size SCountry of Origin: ColombiaCare of the product: Machine ",,,,,,,"Block after Info Column",,,,No,,,"Use config",Colombia,"mgs_brand=Diana Taborda,preorder=No,size=US 10",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
"DT12-Nude-US 8",,Default,simple,"Default Category/Clothing,Default Category/Clothing/All Clothing,Default Category/Clothing/Pants,Default Category/Clothing/New In,Default Category/Designers,Default Category/Designers/Diana Taborda",base,"High-Waist Pants With Waistband -Nude-US 8",,175.000000,"High-Waist Pants With Waistband ","High-Waist Pants With Waistband ","High-Waist Pants With Waistband  Product Details: T High-waisted pants with waistband and pleating going from waist to hem. Material: 96% polyester, 4% spandex.Size & Fit: Model is wearing size SCountry of Origin: ColombiaCare of the product: Machine ",,,,,,,"Block after Info Column",,,,No,,,"Use config",Colombia,"mgs_brand=Diana Taborda,preorder=No,size=US 8",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
DT12,,Default,configurable,"Default Category/Clothing,Default Category/Clothing/All Clothing,Default Category/Clothing/Pants,Default Category/Clothing/New In,Default Category/Designers,Default Category/Designers/Diana Taborda",base,"High-Waist Pants With Waistband ",,,"High-Waist Pants With Waistband ","High-Waist Pants With Waistband ","High-Waist Pants With Waistband  Product Details: T High-waisted pants with waistband and pleating going from waist to hem. Material: 96% polyester, 4% spandex.Size & Fit: Model is wearing size SCountry of Origin: ColombiaCare of the product: Machine ",/h/i/high_wc_1.jpg,,/h/i/high_wc_1.jpg,,,,"Block after Info Column",,,,"Use config",,,"Use config",Colombia,"complete_your_look=21,mgs_brand=Diana Taborda,you_may_also_like=22",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/h/i/high_wc_1.jpg,/h/i/high_wc_2.jpg",",",,,,,,,,,,"sku=DT12-Nude-US 10,color=Nude,size=US 10|sku=DT12-Nude-US 6,color=Nude,size=US 6|sku=DT12-Nude-US 8,color=Nude,size=US 8","color=Color,size=Size"
DT14-Nude-S,,Default,simple,"Default Category/Clothing,Default Category/Clothing/All Clothing,Default Category/Clothing/Dresses,Default Category/Clothing/New In,Default Category/Clothing/Vacation Mode,Default Category/Designers,Default Category/Designers/Diana Taborda",base,"Midi Dress With Puff Short Sleeves-Nude-S",,275.000000,"Midi Dress With Puff Short Sleeves","Midi Dress With Puff Short Sleeves","Midi Dress With Puff Short Sleeves  Product Details: Midi dress with V-shaped back, elbow-length billowy sleeves, and side openings on the skirt.Material: 96% polyester, 4% spandex.Size & Fit: Model is wearing size SCountry of Origin: ColombiaCare of ",,,,,,,"Block after Info Column",,,,No,,,"Use config",Colombia,"mgs_brand=Diana Taborda,preorder=No,size=S",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
DT14-Nude-M,,Default,simple,"Default Category/Clothing,Default Category/Clothing/All Clothing,Default Category/Clothing/Dresses,Default Category/Clothing/New In,Default Category/Clothing/Vacation Mode,Default Category/Designers,Default Category/Designers/Diana Taborda",base,"Midi Dress With Puff Short Sleeves-Nude-M",,275.000000,"Midi Dress With Puff Short Sleeves","Midi Dress With Puff Short Sleeves","Midi Dress With Puff Short Sleeves  Product Details: Midi dress with V-shaped back, elbow-length billowy sleeves, and side openings on the skirt.Material: 96% polyester, 4% spandex.Size & Fit: Model is wearing size SCountry of Origin: ColombiaCare of ",,,,,,,"Block after Info Column",,,,No,,,"Use config",Colombia,"mgs_brand=Diana Taborda,preorder=No,size=M",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
